Converse,45,60,45,45,15
Arms,90,30,45,45,15
MoPratt,90,75,45,45,15
Frost,210,105,120,75,30
Octagon,30,165,45,45,45
Williston,75,165,60,30,45
North,75,195,60,45,45
JChap,75,240,60,45,45
South,75,285,60,45,45
Appleton,75,330,60,30,45
Kirby,60,360,60,45,45
Webster,120,360,30,45,45
Gym,120,435,90,60,45
Grosvenor,390,15,45,45,60
Val,435,15,120,45,60
Morrow,390,60,45,75,60
Barrett,405,150,45,45,60
Chapin,465,135,60,45,60
Moore,555,15,45,45,60
Fayer,555,60,45,75,60
KHC,600,15,45,45,60
james,405,240,45,45,75
Meads,450,240,45,60,75
Stearns,405,285,45,45,75
Stirn,450,300,45,30,75
ChuckP,405,345,60,45,75
Merrill,465,345,45,90,75
Smudd,405,390,30,45,75
McGuire,435,390,30,45,75
Jenkins,705,120,30,45,90
Beneski,630,165,45,30,90
Keefe,720,210,45,45,90
SCCEC,675,225,45,45,90
SCCEA,720,195,30,45,90
SCCEB,720,240,30,45,90
SCCEE,720,285,30,45,90
SCCED,675,285,45,45,90
Ford,525,465,45,45,105
GWayB,450,480,45,45,105
GWayC,465,525,45,45,105
GWayD,510,525,45,45,105
King,645,390,45,60,105
Wieland,645,450,45,60,105
